rank,word,count,zipf
1,der,23159,23159
2,die,18293,36586
3,und,17600,52800
4,in,11657,46628
5,von,8333,41665
6,den,7552,45312
7,des,5872,41104
8,mit,5503,44024
9,im,5118,46062
10,das,5079,50790
11,zu,4714,51854
12,als,4321,51852
13,dem,4288,55744
14,ist,4180,58520
15,eine,4083,61245
16,sich,4055,64880
17,auf,3796,64532
18,für,3633,65394
19,auch,3194,60686
20,ein,3095,61900
21,wurde,2758,57918
22,oder,2569,56518
23,an,2548,58604
24,sind,2414,57936
25,aus,2359,58975
26,einer,2289,59514
27,durch,2260,61020
28,bei,2196,61488
29,nach,2126,61654
30,es,2082,62460
31,nicht,2071,64201
32,wird,2017,64544
33,werden,1957,64581
34,bis,1897,64498
35,zum,1711,59885
36,dass,1679,60444
37,er,1614,59718
38,wie,1597,60686
39,sie,1541,60099
40,am,1518,60720
41,über,1515,62115
42,zur,1514,63588
43,einem,1507,64801
44,war,1465,64460
45,einen,1370,61650
46,um,1252,57592
47,nur,1243,58421
48,wurden,1102,52896
49,noch,1086,53214
50,vor,1048,52400
51,unter,1038,52938
52,aber,964,50128
53,sowie,875,46375
54,etwa,872,47088
55,vom,840,46200
56,so,838,46928
57,zwischen,837,47709
58,eines,830,48140
59,jedoch,820,48380
60,hat,786,47160
61,kann,735,44835
62,man,725,44950
63,dieser,708,44604
64,diese,670,42880
65,jahr,668,43420
66,zwei,665,43890
67,gibt,648,43416
68,seit,639,43452
69,mehr,629,43401
70,können,608,42560
71,seiner,599,42529
72,jahre,597,42984
73,waren,589,42997
74,jahren,571,42254
75,anderen,551,41325
76,seine,544,41344
77,stadt,541,41657
78,heute,530,41340
79,zeit,529,41791
80,haben,526,42080
81,sehr,514,41634
82,ersten,511,41902
83,ihre,505,41915
84,da,486,40824
85,ab,483,41055
86,gegen,481,41366
87,b,478,41586
88,allem,473,41624
89,hatte,463,41207
90,drei,460,41400
91,wieder,457,41587
92,dann,452,41584
93,sein,447,41571
94,deutschland,438,41172
95,alle,437,41515
96,z,432,41472
97,keine,426,41322
98,deutschen,418,40964
99,menschen,417,41283
100,ihrer,416,41600
101,erste,414,41814
102,bereits,413,42126
103,bzw,410,42230
104,damit,401,41704
105,meist,392,41160
106,jahrhundert,387,41022
107,wenn,384,41088
108,während,382,41256
109,teil,372,40548
110,immer,368,40480
111,was,358,39738
112,diesem,347,38864
113,seinen,344,38872
114,später,342,38988
115,viele,335,38525
116,arten,333,38628
117,beispiel,333,38961
118,beiden,331,39058
119,ende,329,39151
120,sondern,328,39360
121,weitere,322,38962
122,bremen,319,38918
123,oft,318,39114
124,beim,312,38688
125,ihren,310,38750
126,seinem,305,38430
127,gab,303,38481
128,andere,303,38784
129,deren,300,38700
130,ohne,298,38740
131,erst,296,38776
132,denen,295,38940
133,ihm,294,39102
134,dabei,290,38860
135,kam,290,39150
136,also,288,39168
137,de,284,38908
138,zweiten,280,38640
139,form,276,38364
140,großen,273,38220
141,große,273,38493
142,schon,273,38766
143,land,271,38753
144,liegt,270,38880
145,hier,268,38860
146,einige,264,38544
147,dort,263,38661
148,selbst,263,38924
149,allerdings,261,38889
150,dessen,261,39150
151,millionen,261,39411
152,anderem,260,39520
153,a,259,39627
154,meisten,257,39578
155,konnte,256,39680
156,beispielsweise,254,39624
157,neue,253,39721
158,wo,248,39184
159,rund,247,39273
160,vier,246,39360
161,ihr,244,39284
162,stark,244,39528
163,insbesondere,242,39446
164,bevölkerung,241,39524
165,jahrhunderts,238,39270
166,diesen,238,39508
167,ebenfalls,238,39746
168,gilt,236,39648
169,bezeichnet,235,39715
170,besonders,233,39610
171,sprache,227,38817
172,indien,225,38700
173,erstmals,223,38579
174,märz,221,38454
175,film,217,37975
176,dazu,217,38192
177,wobei,217,38409
178,fünf,216,38448
179,besteht,216,38664
180,daher,215,38700
181,dies,212,38372
182,august,212,38584
183,el,212,38796
184,partei,211,38824
185,zunächst,210,38850
186,november,210,39060
187,verschiedenen,210,39270
188,entwicklung,210,39480
189,vielen,210,39690
190,ihn,209,39710
191,neben,208,39728
192,leben,208,39936
193,staaten,208,40144
194,grünen,207,40158
195,weniger,206,40170
196,wegen,206,40376
197,of,206,40582
198,neuen,205,40590
199,prozent,205,40795
200,ins,203,40600
201,mehrere,203,40803
202,innerhalb,202,40804
203,fast,201,40803
204,bedeutung,199,40596
205,häufig,198,40590
206,worden,196,40376
207,dieses,196,40572
208,juli,195,40560
209,allen,195,40755
210,oktober,194,40740
211,juni,193,40723
212,deutsche,192,40704
213,aufgrund,190,40470
214,regel,190,40660
215,bekannt,188,40420
216,je,188,40608
217,verschiedene,187,40579
218,pro,185,40330
219,weiteren,185,40515
220,portugal,185,40700
221,unternehmen,184,40664
222,namen,184,40848
223,kirche,183,40809
224,verwendet,183,40992
225,zahl,182,40950
226,letzten,181,40906
227,v,181,41087
228,lange,181,41268
229,wasser,180,41220
230,familie,179,41170
231,aller,179,41349
232,april,177,41064
233,europa,177,41241
234,dezember,176,41184
235,san,176,41360
236,sei,175,41300
237,davon,174,41238
238,januar,174,41412
239,zusammen,174,41586
240,bereich,173,41520
241,rolle,173,41693
242,siehe,173,41866
243,september,171,41553
244,mai,171,41724
245,findet,169,41405
246,folgenden,168,41328
247,einigen,168,41496
248,gehören,167,41416
249,teilweise,166,41334
250,welche,165,41250
251,regierung,163,40913
252,bielefeld,163,41076
253,platz,162,40986
254,steht,161,40894
255,jeweils,161,41055
256,finden,160,40960
257,führte,160,41120
258,meter,160,41280
259,chr,159,41181
260,muss,159,41340
261,begriff,159,41499
262,kommt,159,41658
263,art,158,41554
264,zwar,157,41448
265,weil,157,41605
266,damals,156,41496
267,befindet,154,41118
268,zahlreiche,153,41004
269,dafür,153,41157
270,größte,153,41310
271,kein,152,41192
272,greco,152,41344
273,gegenüber,149,40677
274,mitte,149,40826
275,gut,149,40975
276,hatten,149,41124
277,weiter,149,41273
278,bezeichnung,149,41422
279,seite,147,41013
280,begann,147,41160
281,ganz,147,41307
282,the,146,41172
283,hinaus,145,41035
284,eigenen,145,41180
285,sowohl,144,41040
286,usa,144,41184
287,internationalen,144,41328
288,sogenannte,144,41472
289,darauf,143,41327
