VERB,SG_GEN_-_1_PRES_IND,SG_GEN_-_2_PRES_IND,SG_GEN_-_3_PRES_IND,PL_GEN_-_1_PRES_IND,PL_GEN_-_2_PRES_IND,PL_GEN_-_3_PRES_IND,SG_GEN_M_1_PAST_IND,SG_GEN_F_1_PAST_IND,SG_GEN_M_2_PAST_IND,SG_GEN_F_2_PAST_IND,SG_GEN_M_3_PAST_IND,SG_GEN_F_3_PAST_IND,SG_GEN_N_3_PAST_IND,PL_GEN_M_1_PAST_IND,PL_GEN_F_1_PAST_IND,PL_GEN_M_2_PAST_IND,PL_GEN_F_2_PAST_IND,PL_GEN_M_3_PAST_IND,PL_GEN_F_3_PAST_IND,SG_GEN_M_1_-_PRE,SG_GEN_F_1_-_PRE,SG_GEN_M_2_-_PRE,SG_GEN_F_2_-_PRE,SG_GEN_M_3_-_PRE,SG_GEN_F_3_-_PRE,SG_GEN_N_3_-_PRE,PL_GEN_M_1_-_PRE,PL_GEN_F_1_-_PRE,PL_GEN_M_2_-_PRE,PL_GEN_F_2_-_PRE,PL_GEN_M_3_-_PRE,PL_GEN_F_3_-_PRE
słuchać,słucham,słuchasz,słucha,słuchamy,słuchacie,słuchają,słuchałem,słuchałam,słuchałeś,słuchałaś,słuchał,słuchała,słuchało,słuchaliśmy,słuchałyśmy,słuchaliście,słuchałyście,słuchali,słuchały,słuchałbym,słuchałabym,słuchałbyś,słuchałabyś,słuchałby,słuchałaby,słuchałoby,słuchalibyśmy,słuchałybyście,słuchalibyście,słuchałybyście,słuchaliby,słuchałyby
czytać,czytam,czytasz,czyta,czytamy,czytacie,czytają,czytałem,czytałam,czytałeś,czytałaś,czytał,czytała,czytało,czytaliśmy,czytałyśmy,czytaliście,czytałyście,czytali,czytały,czytałbym,czytałabym,czytałbyś,czytałabyś,czytałby,czytałaby,czytałoby,czytalibyśmy,czytałybyśmy,czytalibyście,czytałybyście,czytaliby,czytałyby
pisać,piszę,piszesz,pisze,piszemy,piszecie,piszą,pisałem,pisałam,pisałeś,pisałaś,pisał,pisała,pisało,pisaliśmy,pisałyśmy,pisaliście,pisałyście,pisali,pisały,pisałbym,pisałabym,pisałbyś,pisałabyś,pisałby,pisałaby,pisałoby,pisalibyśmy,pisałybyśmy,pisalibyście,pisałybyście,pisaliby,pisałyby
robić,robię,robisz,robi,robimy,robicie,robią,robiłem,robiłam,robiłeś,robiłaś,robił,robiła,robiło,robiliśmy,robiłyśmy,robiliście,robiłyście,robili,robiły,robiłbym,robiłabym,robiłbyś,robiłabyś,robiłby,robiłaby,robiłoby,robilibyśmy,robiłybyśmy,robilibyście,robiłybyście,robiliby,robiłyby
jeść,jem,jesz,je,jemy,jecie,jedzą,jadłem,jadłam,jadłeś,jadłaś,jadł,jadła,jadło,jedliśmy,jadłyśmy,jedliście,jadłyście,jedli,jadły,jadłbym,jadłabym,jadłbyś,jadłabyś,jadłby,jadłaby,jadłoby,jedlibyśmy,jadłybyśmy,jedlibyście,jadłybyście,jedliby,jadłyby
mieć,mam,masz,ma,mamy,macie,mają,miałem,miałam,miałeś,miałaś,miał,miała,miało,mieliśmy,miałyśmy,mieliście,miałyście,mieli,miały,miałbym,miałabym,miałbyś,miałabyś,miałby,miałaby,miałoby,mielibyśmy,miałybyśmy,mielibyście,miałybyście,mieliby,miałyby
iść,idę,idziesz,idzie,idziemy,idziecie,idą,szedłem,szłam,szedłeś,szłaś,szedł,szła,szło,szliśmy,szłyśmy,szliście,szłyście,szli,szły,szedłbym,szłabym,szedłbyś,szłabyś,szedłby,szłaby,szłoby,szlibyśmy,szłybyśmy,szlibyście,szłybyście,szliby,szłyby
pić,piję,pijesz,pije,pijemy,pijecie,piją,piłem,piłam,piłeś,piłaś,pił,piła,piło,piliśmy,piłyśmy,piliście,piłyście,pili,piły,piłbym,piłabym,piłbyś,piłabyś,piłby,piłaby,piłoby,pilibyśmy,piłybyśmy,pilibyście,piłybyście,piliby,piłyby
brać,biorę,bierzesz,bierze,bierzemy,bierzecie,biorą,brałem,brałam,brałeś,brałaś,brał,brała,brało,braliśmy,brałyśmy,braliście,brałyście,brali,brały,brałbym,brałabym,brałbyś,brałabyś,brałby,brałaby,brałoby,bralibyśmy,brałybyśmy,bralibyście,brałybyście,braliby,brałyby
dać,dam,dasz,da,damy,dacie,dadzą,dałem,dałam,dałeś,dałaś,dał,dała,dało,daliśmy,dałyśmy,daliscie,dałyście,dali,dały,dałbym,dałabym,dałbyś,dałabyś,dałby,dałaby,dałoby,dalibyśmy,dałybyśmy,dalibyście,dałybyście,daliby,dałyby
